Datetime (JST),Seller ID,Brand,Price Range,Pages,Platform,Mode,Output Path
2025/5/26 14:32,A34W9GXSVF1UG1,CASIO,70-800,20,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 8:41,A34W9GXSVF1UG1,CASIO,70-800,20,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 8:42,A34W9GXSVF1UG1,NIntendo,70-800,20,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 8:43,A34W9GXSVF1UG1,NIntendo,70-800,20,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 8:45,A34W9GXSVF1UG1,NIntendo,70-800,20,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 8:45,A34W9GXSVF1UG1,NIntendo,70-800,20,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 8:49,ASOUBI77KWLWI,NIntendo,70-800,20,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 8:50,ASOUBI77KWLWI,Nintendo,70-800,20,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 8:54,ASOUBI77KWLWI,Nintendo,70-800,20,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 9:14,ASOUBI77KWLWI,Nintendo,70-800,20,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 9:18,ASOUBI77KWLWI,Nintendo,70-800,20,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 9:19,ASOUBI77KWLWI,Nintendo,70-800,20,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 9:19,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 9:24,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 12:31,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 12:33,,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 12:33,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 14:11,A2UNWZZYZVYWU0,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 14:21,A2UNWZZYZVYWU0,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 15:16,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 15:25,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 15:34,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 15:43,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 15:47,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/5/27 15:49,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/27 16:35:01,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/27 16:45:03,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/27 16:56:20,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/27 17:42:58,ASOUBI77KWLWI,Nintendo,70-800,2,detailed,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/28 10:19:44,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/28 10:19:52,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/28 10:22:40,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/28 10:24:05,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/28 10:26:18,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/28 10:27:14,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/28 10:40:43,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 13:10:14,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 13:10:52,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 13:11:13,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 13:16:21,A34W9GXSVF1UG1,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 14:24:38,,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 14:25:13,A34W9GXSVF1UG1,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 14:26:17,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 14:32:49,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,C:/Dropbox/Amazon_analysis_project/data
2025/05/29 14:54:25,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:\Dropbox\Amazon_analysis_project\data
2025/05/29 14:55:23,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
