first_recorded,last_extracted,seller_id,shop_name,review_1m,review_3m,review_12m,review_lifetime,shop_url,hidden,remarks
2025/5/24 16:42,2025/5/29 16:03,A34W9GXSVF1UG1,Risa's kawaii room(DHL express shipping ),,,,,https://www.amazon.com.au/sp?seller=A34W9GXSVF1UG1,,
2025/6/10 18:49,2025/8/4 13:36,ASOUBI77KWLWI,AI Japan -Japan select shop-,,,,,https://www.amazon.com.au/sp?seller=ASOUBI77KWLWI,,
2025/6/10 18:49,2025/6/10 18:49,A2UNWZZYZVYWU0,PC-WIZ-JAPAN A,,,,,https://www.amazon.com.au/sp?seller=A2UNWZZYZVYWU0,,
2025/6/10 18:49,2025/6/10 18:49,A3GCJ89X0ITT23,nagomi庵 Japan,,,,,https://www.amazon.com.au/sp?seller=A3GCJ89X0ITT23,,
2025/6/10 18:49,2025/6/10 18:49,A1F460BGZDKQFU,sukiyaki japan,,,,,https://www.amazon.com.au/sp?seller=A1F460BGZDKQFU,,
2025/5/30 18:16,2025/5/30 18:16,A21UPUBHOUFSOM,めいく,,,,,https://www.amazon.com.au/sp?seller=A21UPUBHOUFSOM,,
2025/6/10 18:49,2025/6/10 18:49,A2K69GP4EI3XWZ,Amazon Japan,,,,,https://www.amazon.com.au/sp?seller=A2K69GP4EI3XWZ,TRUE,
2025/6/10 18:49,2025/6/10 18:49,A36MBKPPG3W1JZ,Good Deals Games,,,,,https://www.amazon.com.au/sp?seller=A36MBKPPG3W1JZ,,
2025/6/25 7:49,2025/6/25 7:49,A4XRJ8S0WXSO0,Amazon US,,,,,https://www.amazon.com.au/sp?seller=A4XRJ8S0WXSO0,TRUE,
2025/6/10 18:49,2025/6/10 18:49,A5PKZIG36GZ7P,MONSTER HOUSE,,,,,https://www.amazon.com.au/sp?seller=A5PKZIG36GZ7P,FALSE,FBAセラー
2025/6/1 11:57,2025/6/1 11:57,A1ZRUWTPRUWBXL,Patriot Memory AU,,,,,https://www.amazon.com.au/sp?seller=A1ZRUWTPRUWBXL,TRUE,メーカー
2025/6/10 18:49,2025/6/10 18:49,A3JCEYBC5L8UJ8,Amazon UK,,,,,https://www.amazon.com.au/sp?seller=A3JCEYBC5L8UJ8,TRUE,
